Question,Answer,Weights
Default Response,I don't have enough information to answer that. Please contact Prathyush via the contact section on this page.,0.500000 0.500000
I don't understand,I don't have enough information to answer that. Please contact Prathyush directly.,0.333333 0.333333 0.333333
Thank you,Thank you for visiting.,0.500000 0.500000
Good Day,Good Day,0.500000 0.500000
Good afternoon,Good afternoon,0.500000 0.500000
Good night,Good night,0.500000 0.500000
Talk to you later,Good bye,0.250000 0.250000 0.250000 0.250000
good bye,Good bye,0.500000 0.500000
hi you,"Hello, how can I help you learn about Prathyush's work?",0.500000 0.500000
hi hello,"Hello, how can I help you learn about Prathyush's work?",0.500000 0.500000
how are you,I'm here to help you learn about Prathyush's research and background. Ask me anything.,0.333333 0.333333 0.333333
What is your name,"I'm an AI assistant for Prathyush Turaga's portfolio. Ask me about his research, publications, or experience.",0.250000 0.250000 0.250000 0.250000
who is this,I'm an AI assistant for Prathyush Turaga's portfolio.,0.333333 0.333333 0.333333
ok thanks,Ok.,0.500000 0.500000
thanks,You're welcome.,1.000000
Nice to meet you,"Thanks, nice to meet you too.",0.250000 0.250000 0.250000 0.250000
what can you do,"I can answer questions about Prathyush's research, publications, skills, experience, and the technical terms on this page.",0.250000 0.250000 0.250000 0.250000
See ya,Bye,0.500000 0.500000
See you around,Bye,0.333333 0.333333 0.333333
Who is Prathyush Turaga,"Prathyush Turaga is a PhD student in Computer Science at Texas Tech University. His research focuses on trustworthy AI, AI safety, LLM agents, and cybersecurity. He has 7+ years of industry experience and multiple IEEE publications.",0.250000 0.250000 0.250000 0.250000
Where does Prathyush study,"Prathyush is at Texas Tech University in Lubbock, Texas, pursuing a PhD in Computer Science with a minor in Business.",0.250000 0.250000 0.250000 0.250000
Where did Prathyush work before,"Before his PhD, Prathyush worked at Infosys for 7+ years as a Technology Lead and Technology Analyst, serving FedEx as the client. He was based in the UK and India.",0.200000 0.200000 0.200000 0.200000 0.200000
What is Prathyush's research about,"Prathyush researches trustworthy and controllable AI, AI safety, AI alignment, LLM agents, retrieval-augmented generation (RAG), knowledge graphs, ontology engineering, and cybersecurity on HPC platforms.",0.200000 0.200000 0.200000 0.200000 0.200000
Is Prathyush looking for a job,"Yes. Prathyush is entering the job market for tenure-track faculty positions in academia and research scientist roles in industry, starting June 2026.",0.166667 0.166667 0.166667 0.166667 0.166667 0.166667
What is Prathyush's GPA,"Prathyush has a 3.9 GPA in his PhD and had a 3.75 GPA in his MS, both at Texas Tech University.",0.250000 0.250000 0.250000 0.250000
