Question,Answer,Weights
Default Response,I don't have enough information to answer you. Please drop a message through contact information available on this website.,0.5 0.5
I don't understand,I don't have enough information to answer you. Please drop a message through contact information available on this website.,0.380952380952 0.238095238095 0.380952380952
Thank you,Thank you for writing to me,0.663341645885 0.336658354115
Good Day,Good Day,0.414893617021 0.585106382979
Good afternoon,Good afternoon,0.282608695652 0.717391304348
Good night,Good night,0.440677966102 0.559322033898
Talk to you later,Good bye,0.366827839826 0.140390901662 0.125953418687 0.366827839826
good bye,Good bye,0.282608695652 0.717391304348
hi you,Hello how are you?,0.621495327103 0.378504672897
hi hello,Hello how are you?,0.357142857143 0.642857142857
very good thank you,Nice to hear that. Can I help you with something?,0.481060107852 0.131198211232 0.288636064711 0.0991056162041
good and you,"Also good, thank you. Can I help you with something?",0.296308084023 0.465626989179 0.238064926798
how are you,"Good, thank you. Can I help you with something?",0.354511970534 0.33241252302 0.313075506446
What is your name?,I'm Prathyush's AI Assistant. Nice to meet you.,0.200114025086 0.20369767063 0.208665906499 0.387522397785
My name is,I'm Prathyush's AI Assistant. Nice to meet you.,0.589235127479 0.257790368272 0.152974504249
who is this?,I'm Prathyush's AI Assistant. Nice to meet you.,0.291479820628 0.242152466368 0.466367713004
ok thanks,Ok.,0.666666666667 0.333333333333
yes thanks,Ok.,0.666666666667 0.333333333333
thanks,Thank you for writing to me,1.0
what is your favorite color?,It is Blue,0.100082644461 0.102305356129 0.105386842759 0.115370859442 0.576854297209
where are you from,From somewhere exotic,0.2569022355 0.209925826723 0.194060986917 0.33911095086
what do you do,I am a bot,0.247525221255 0.252799731297 0.246875316151 0.252799731297
how old are you,Less than 1 year old,0.144888408927 0.59845212383 0.133369330454 0.123290136789
What do you do for a living?,I am a bot,0.0968923929302 0.10042155198 0.0964575433496 0.10042155198 0.162906073213 0.137451999273 0.305448887274
What was that again?,Repeat the question please,0.111324903793 0.155697793136 0.194023403754 0.538953899317
Excuse me?,Repeat the question please,0.692307692308 0.307692307692
Pardon me?,Repeat the question please,0.692307692308 0.307692307692
how have you been?,"Good thanks, and you?",0.208849812626 0.210867685212 0.177716921303 0.402565580859
what have you been up to?,Not much and you?,0.106517405852 0.135365869937 0.106104450683 0.304573207357 0.223353685395 0.124085380775
The weather is great isnt it?,Yes it is,0.0528052805281 0.171617161716 0.046204620462 0.300330033003 0.300330033003 0.128712871287
How is the weather there?,"The weather is nice here, and there?",0.130407523511 0.109857192616 0.123092998955 0.361337513062 0.275304771856
where are you going now?,Nowhere really,0.154986252982 0.121774913057 0.110558802644 0.372935671237 0.239744360081
What is your favorite show?,Flash,0.100082644461 0.102305356129 0.105386842759 0.115370859442 0.576854297209
What is your favorite movie?,The Matrix,0.156509704044 0.159985590869 0.164804433968 0.180417485607 0.338282785513
What is your favorite dessert?,Ice Cream,0.100082644461 0.102305356129 0.105386842759 0.115370859442 0.576854297209
Who is your favorite singer?,I don't listen to music,0.131453723531 0.0987389959553 0.101713062099 0.111349036403 0.556745182013
Who is your favorite athlete?,Kobe,0.131453723531 0.0987389959553 0.101713062099 0.111349036403 0.556745182013
What do you like to eat?,French fries,0.107590050086 0.110975267843 0.107172936405 0.138739742896 0.125334936819 0.410187065952
